Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
Scrypt,0,41.99995383,42.0
Scrypt,0,1055184902.0,532000000.0
X13,0,29279424623.0,314159000000.0
SHA-256,2,17927175.0,21000000.0
Ethash,2,107684222.7,0.0
Scrypt,2,63039243.3,84000000.0
X11,0,9031294.376,22000000.0
CryptoNight-V7,2,17201143.14,0.0
Ethash,2,113359703.0,210000000.0
Equihash,2,7383056.25,21000000.0
SHA-512,2,2741570000.0,3600570502.0
Multiple,2,11406219141.0,21000000000.0
SHA-256,0,1288862.0,22000000.0
SHA-256,2,11995334.88,12500000.0
Scrypt,2,5768310.0,21000000.0
X15,0,25542535.59,350000000.0
X11,2,11149734.0,20000000.0
Scrypt,2,12205795.44,64000000.0
Scrypt,0,18135099.99,16768584.0
Scrypt,0,635423900.0,0.0
Multiple,2,1688254250.0,2000000000.0
Scrypt,2,88.0,384000000000.0
SHA-256,2,170204389.8,169795588.0
Scrypt,2,128940951.2,250000000.0
Scrypt,2,7357794.793,100000000.0
Scrypt,0,123062801.1,0.0
Quark,2,259557164.9,247000000.0
Groestl,2,49548585.14,84000000.0
Scrypt,2,33442988.34,48166000.0
Scrypt,0,42579.4769,500000.0
Scrypt,2,7219956.646000001,21000000.0
Scrypt,0,1039116.651,1000000.0
Scrypt,2,4703879.518,13140000.0
X11,2,4996986.206,18000000.0
Scrypt,2,39999997300.0,40000000000.0
Groestl,0,3304487.747,4380000.0
Multiple,2,15929530669.0,16555000000.0
SHA-256,2,18773857500.0,21000000000.0
Scrypt,2,12539015187.0,13500000000.0
Scrypt,2,20910478.81,21000000.0
Scrypt,2,218871896.5,299792458.0
Scrypt,2,19496786.31,32000000.0
PoS,2,5679705.0,0.0
Scrypt,2,461829905.3,0.0
Scrypt,2,1142732.149,11235813.0
NeoScrypt,2,208669093.0,336000000.0
Scrypt,2,884125802.0,1420609614.0
Scrypt,2,65672720.47,70000000.0
Scrypt,2,41658648.0,72245700.0
Scrypt,0,89266933.68,120000000.0
X11,2,1678520091.0,0.0
Scrypt,2,90595753019.0,90600000000.0
X11,0,17650913.97,22000000.0
SHA-256,2,21089349.0,21000000.0
Scrypt,2,151447649.8,265420800.0
Scrypt,2,19326319.14,20000000.0
Scrypt,2,1104344.229,1350000.0
SHA3,0,61445805.0,100000000.0
Scrypt,2,38151999.99,42000000.0
